1|Ruma|Srbija
2|Zlatibor|Srbija
3|Vrdnik|Srbija
4|Nis|Srbija
5|Pariz|Francuska
6|Novi Sad|Srbija
7|Thessaloniki|Greece
8|Islam Grcki|Croatia
9|Novi Sad|Serbia
10||
11||
12||
13||
14|Banja Koviljaca|Srbija
15|Rtanj|Srbija
16|Knjazevac|Srbija
17|Bor|Srbija
18|Bijeljina|Republika Srpska
19|Leptokarija|Grcka
20|Istanbul|Turska
21|London|Engleska
22|Tokio|Japan
23|Athens|Greece
24|Beograd|Srbija
25|Uzice|Srbija
26|Barselona|Spanija
27|Bec|Austrija
28|Sarajevo|Srbija
29|Sarajevo|Bosna i Hercegovina
30|Budimpesta|Madjarska
31|Prag|Ceska
32|Madrid|Spanija
33|Loznica|Srbija
34|Tara|Srbija
35|Zajecar|Srbija
36|a|a
37|Macvanska Mitrovica|Srbija
38|Divcibare|Srbija
39|Kulpin|Srbija
40|Beograd|Srbija
41|Beograd|Srbija
42|Pariz|Francuska
